student_name,exam_mode,tot_question,tot_que_attempted,que_att_within_idl_time,idl_time_correct_que,tot_correct_que,questions_to_pass,result,tot_exam_time,exam_finish_time_in_sec,finish_time_in_min,prediction
Cristy Mungin,center_based,30,28,19,17,28,18,pass,90,4200,70,Genuine
Crystal Kelling,remote,40,20,4,4,20,24,fail,120,528,8,Genuine
Cyb McGarvie,center_based,30,24,2,1,1,18,fail,90,1946,32,Genuine
Cynde Bonifazio,center_based,40,20,5,5,14,24,fail,120,2937,48,Genuine
Cyndy O'Hickey,remote,50,29,26,19,19,30,fail,150,6745,112,Genuine
Cynthea Layburn,remote,30,29,17,6,21,18,pass,90,878,14,Genuine
Cynthia Brasseur,remote,50,49,0,0,41,30,pass,150,8960,149,Genuine
Cynthie Noble,remote,40,11,0,0,5,24,fail,120,3183,53,Genuine
Cyrillus Haslin,center_based,50,21,11,10,17,30,fail,150,3607,60,Genuine
Dacie Eagland,remote,30,13,12,4,6,18,fail,90,1307,21,Genuine
Daffi Mears,remote,50,50,28,17,36,30,pass,150,1630,27,Genuine
Dahlia Lille,remote,40,11,0,0,7,24,fail,120,368,6,Genuine
Dall Shuker,remote,30,19,18,15,15,18,fail,90,2713,45,Genuine
Dallas Creaney,remote,20,13,7,1,11,12,fail,60,1204,20,Genuine
Dallon Opie,center_based,50,10,10,4,5,30,fail,150,2294,38,Genuine
Dallon Pull,remote,40,12,11,7,9,24,fail,120,4760,79,Genuine
Dalston Locarno,center_based,30,24,10,0,22,18,pass,90,506,8,Genuine
Damian Moodycliffe,remote,20,17,16,10,11,12,fail,60,475,7,Genuine
Damita Guerner,remote,50,44,36,35,36,30,pass,150,6823,113,Cheating
Dane Davidove,remote,30,28,14,1,16,18,fail,90,5074,84,Genuine
Danell Carlin,remote,20,10,1,1,9,12,fail,60,579,9,Genuine
Danell Dorot,remote,20,17,0,0,10,12,fail,60,2872,47,Genuine
Danette Battill,remote,40,20,18,1,5,24,fail,120,81,1,Genuine
Danila Howen,remote,20,18,14,8,13,12,pass,60,2641,44,Cheating
Danna Parker,remote,20,16,4,4,13,12,pass,60,2737,45,Genuine
Danny Iacoviello,remote,40,30,12,10,13,24,fail,120,411,6,Genuine
Dante Baumer,remote,50,37,28,26,36,30,pass,150,5457,90,Genuine
Danyelle MacAnelley,remote,40,23,23,4,13,24,fail,120,1029,17,Genuine
Darbie Gozney,center_based,50,43,5,5,42,30,pass,150,3293,54,Genuine
Darbie Haversham,remote,40,23,13,9,17,24,fail,120,70,1,Genuine
Darcey Benet,remote,50,47,44,29,30,30,pass,150,3500,58,Genuine
Darcey Birtley,center_based,40,37,5,2,18,24,fail,120,1720,28,Genuine
Dare Plaice,remote,30,27,23,5,20,18,pass,90,1235,20,Genuine
Daria Rainon,remote,40,40,13,0,12,24,fail,120,5856,97,Genuine
Darin Durden,remote,50,39,25,1,8,30,fail,150,6692,111,Genuine
Darlleen Sercombe,remote,40,36,5,4,9,24,fail,120,367,6,Genuine
Daron Nanelli,center_based,40,15,6,2,13,24,fail,120,3958,65,Genuine
Darrelle Bliss,remote,30,14,6,6,12,18,fail,90,2042,34,Genuine
Darren Itzak,remote,30,23,20,4,10,18,fail,90,4177,69,Genuine
Darsey Gladdolph,remote,30,19,13,4,8,18,fail,90,4752,79,Genuine
Daryle McDaid,remote,30,12,3,3,7,18,fail,90,956,15,Genuine
Daryle McIlhone,remote,50,32,13,9,24,30,fail,150,790,13,Genuine
Dasi Cockley,remote,40,33,9,2,32,24,pass,120,447,7,Genuine
Davida Sorrie,center_based,20,17,0,0,1,12,fail,60,3398,56,Genuine
Davon Budnik,remote,50,13,4,1,8,30,fail,150,8159,135,Genuine
Davy Nelthrop,remote,30,27,1,1,2,18,fail,90,4435,73,Genuine
Dayle Crockford,center_based,30,20,11,9,10,18,fail,90,2910,48,Genuine
Dean Satterlee,remote,40,22,11,10,15,24,fail,120,3150,52,Genuine
Debbi Cressey,remote,50,26,7,2,23,30,fail,150,3526,58,Genuine
Dede Haslum,remote,20,18,0,0,2,12,fail,60,3086,51,Genuine
Dee Dobinson,center_based,20,13,10,1,8,12,fail,60,2313,38,Genuine
Dee Sandeford,remote,20,19,9,9,11,12,fail,60,3043,50,Genuine
Deeyn Connealy,remote,40,38,38,18,18,24,fail,120,671,11,Genuine
Delaney Stears,remote,20,17,3,2,3,12,fail,60,2441,40,Genuine
Delbert Brandle,remote,40,40,17,11,32,24,pass,120,6615,110,Genuine
Delcina Woodger,center_based,40,23,3,0,8,24,fail,120,308,5,Genuine
Demetris Hallifax,center_based,40,30,12,7,11,24,fail,120,1501,25,Genuine
Denna Manchester,remote,50,19,6,6,13,30,fail,150,5207,86,Genuine
Denney Ricart,remote,50,10,6,4,4,30,fail,150,6625,110,Genuine
Denny St Leger,remote,20,11,8,5,6,12,fail,60,843,14,Genuine
Deonne Jaquet,remote,20,10,6,5,9,12,fail,60,2790,46,Genuine
Derby Warrington,remote,30,28,8,2,23,18,pass,90,385,6,Genuine
Derick Vasilevich,center_based,40,33,10,0,17,24,fail,120,2762,46,Genuine
Derrick Hattigan,remote,20,20,3,2,18,12,pass,60,678,11,Genuine
Derrick Tunsley,remote,30,11,10,9,11,18,fail,90,3148,52,Genuine
Derwin Schimonek,remote,20,15,5,4,5,12,fail,60,2126,35,Genuine
Desmund Spykins,remote,50,11,8,5,10,30,fail,150,5390,89,Genuine
Devora Finan,center_based,50,35,35,4,31,30,pass,150,4822,80,Genuine
Dexter Carnoghan,center_based,20,16,1,0,8,12,fail,60,700,11,Genuine
Diandra Lere,remote,40,25,13,6,25,24,pass,120,1828,30,Genuine
Diane Ibbitt,remote,40,24,18,16,24,24,pass,120,2375,39,Genuine
Dianemarie Baccas,remote,30,11,2,0,9,18,fail,90,640,10,Genuine
Diann D'Ruel,center_based,30,28,27,4,15,18,fail,90,5128,85,Genuine
Diarmid Vere,remote,40,29,12,5,28,24,pass,120,6135,102,Genuine
Dickie Pettis,remote,30,19,15,15,15,18,fail,90,3412,56,Genuine
Dido Foss,remote,50,49,20,19,21,30,fail,150,1582,26,Genuine
Dillon Geibel,remote,20,19,16,6,18,12,pass,60,2655,44,Genuine
Dina Larmet,remote,20,20,1,1,1,12,fail,60,1134,18,Genuine
Doll Silverthorne,remote,40,38,37,12,17,24,fail,120,4038,67,Genuine
Doloritas Voden,center_based,40,12,6,1,9,24,fail,120,797,13,Genuine
Donaugh Fresson,remote,40,20,15,6,17,24,fail,120,5549,92,Genuine
Donaugh Gooden,center_based,20,17,12,4,15,12,pass,60,240,4,Genuine
Donella Dillinton,remote,40,40,7,6,17,24,fail,120,6630,110,Genuine
Donica Robet,center_based,40,36,23,12,23,24,fail,120,259,4,Genuine
Donni De Ferrari,center_based,50,44,35,31,43,30,pass,150,7800,130,Cheating
Doralyn Hospital,center_based,40,33,25,21,26,24,pass,120,2939,48,Genuine
Doralynn Jorioz,remote,20,16,6,1,10,12,fail,60,1593,26,Genuine
Dore Di Iorio,center_based,30,19,17,17,17,18,fail,90,2372,39,Genuine
Dorelia Maxstead,remote,50,44,16,0,24,30,fail,150,6163,102,Genuine
Dorie Schapero,remote,20,16,9,4,16,12,pass,60,2361,39,Genuine
Dorise McManamon,remote,30,12,8,6,6,18,fail,90,2393,39,Genuine
Dotty Senyard,remote,40,23,12,12,12,24,fail,120,2314,38,Genuine
Drake O'Quin,remote,40,36,34,29,32,24,pass,120,60,1,Cheating
Dredi Harner,remote,20,11,3,3,10,12,fail,60,1267,21,Genuine
Druci Bromilow,remote,30,20,2,2,4,18,fail,90,2487,41,Genuine
Drucie Kubecka,center_based,30,19,15,9,14,18,fail,90,1427,23,Genuine
Drusilla Collisson,center_based,20,13,11,10,11,12,fail,60,1337,22,Genuine
Dulce Melly,remote,20,13,10,1,10,12,fail,60,3203,53,Genuine
Dur Walenta,remote,40,18,12,7,14,24,fail,120,2190,36,Genuine
Durand Lashford,remote,50,29,3,3,23,30,fail,150,6475,107,Genuine
Durward Gianolo,remote,30,18,8,1,16,18,fail,90,3919,65,Genuine
Eadith Sutterby,remote,40,20,19,19,20,24,fail,120,6761,112,Genuine
Eamon Schistl,remote,40,32,15,8,27,24,pass,120,4435,73,Genuine
Earvin Clapton,remote,50,46,0,0,39,30,pass,150,3326,55,Genuine
Eba Husher,remote,50,26,7,2,24,30,fail,150,5738,95,Genuine
Ebenezer Seymer,remote,50,47,34,31,35,30,pass,150,7830,130,Cheating
Eberhard Rackley,remote,30,18,2,0,18,18,pass,90,4467,74,Genuine
Edie Androli,remote,30,11,8,3,8,18,fail,90,4493,74,Genuine
Edita Jurasek,remote,50,10,1,1,8,30,fail,150,7114,118,Genuine
Editha Jubb,center_based,30,23,17,2,2,18,fail,90,806,13,Genuine
Ediva Mulhall,remote,20,17,1,0,14,12,pass,60,1318,21,Genuine
Edouard Dudley,remote,50,34,2,2,21,30,fail,150,5294,88,Genuine
Edwin Maffulli,remote,30,20,16,9,13,18,fail,90,4126,68,Genuine
Edythe Simmons,remote,40,33,14,7,23,24,fail,120,4462,74,Genuine
Efren Templman,remote,30,23,12,7,20,18,pass,90,87,1,Genuine
Elaine Zannotti,remote,50,37,27,9,17,30,fail,150,134,2,Genuine
Elane Chatwin,remote,50,14,2,1,4,30,fail,150,1557,25,Genuine
Eldon Wolfe,center_based,40,10,10,4,10,24,fail,120,2007,33,Genuine
Eleanore Becarra,center_based,20,18,13,3,3,12,fail,60,1716,28,Genuine
Eleen Gerren,remote,40,10,10,0,4,24,fail,120,7200,120,Genuine
Eleen Hovie,remote,50,32,26,15,31,30,pass,150,343,5,Genuine
Elena Slocom,remote,30,26,2,0,25,18,pass,90,5093,84,Genuine
Eleonore Volkes,center_based,50,20,6,1,2,30,fail,150,5397,89,Genuine
Eli Loreit,remote,20,15,9,9,11,12,fail,60,3114,51,Genuine
Elihu Olyunin,remote,50,41,1,1,40,30,pass,150,4300,71,Genuine
Elinore Box,center_based,50,14,7,4,10,30,fail,150,1378,22,Genuine
Eliot Alstead,center_based,20,19,3,1,2,12,fail,60,585,9,Genuine
Eliot Gibberd,remote,40,29,16,11,12,24,fail,120,7112,118,Genuine
Elisabet Moyser,remote,20,10,9,6,7,12,fail,60,1856,30,Genuine
Elisha Boulsher,remote,40,28,7,2,18,24,fail,120,5589,93,Genuine
Elisha Sotheby,remote,50,37,3,0,25,30,fail,150,8645,144,Genuine
Elizabeth Lerer,center_based,40,38,14,7,11,24,fail,120,6303,105,Genuine
Ellen Lacheze,remote,30,10,2,0,8,18,fail,90,1188,19,Genuine
Elli Dillingston,remote,30,11,2,2,2,18,fail,90,2200,36,Genuine
Elliot Elliss,remote,40,16,5,2,10,24,fail,120,2138,35,Genuine
Elmira Satterly,remote,40,13,7,4,11,24,fail,120,163,2,Genuine
Elna Deverille,remote,50,22,0,0,10,30,fail,150,7218,120,Genuine
Elonore Clubb,center_based,50,11,0,0,3,30,fail,150,6908,115,Genuine
Elroy Ughini,remote,50,32,15,11,31,30,pass,150,6739,112,Genuine
Elsa Croston,remote,40,16,3,1,12,24,fail,120,1479,24,Genuine
Elset Curnokk,center_based,50,40,32,22,26,30,fail,150,1894,31,Genuine
Elston Attewill,remote,30,13,6,4,11,18,fail,90,4311,71,Genuine
Elva Martinovic,center_based,40,16,12,4,11,24,fail,120,7100,118,Genuine
Elwin Darkott,remote,20,10,4,1,10,12,fail,60,1241,20,Genuine
Ema Hollow,remote,40,30,13,4,15,24,fail,120,540,9,Genuine
Emalee Follitt,center_based,50,35,21,10,29,30,fail,150,6410,106,Genuine
Emelda Rowlands,center_based,20,11,0,0,3,12,fail,60,2749,45,Genuine
Emelia Hasard,center_based,50,13,10,0,9,30,fail,150,1736,28,Genuine
Emeline Hamsher,center_based,40,35,6,6,28,24,pass,120,1087,18,Genuine
Emelyne Josh,remote,30,14,8,6,7,18,fail,90,4169,69,Genuine
Emlen Takkos,remote,20,10,10,9,10,12,fail,60,2948,49,Genuine
Emlyn Margerison,center_based,20,17,14,6,6,12,fail,60,3090,51,Genuine
Emma McVitie,remote,20,20,4,4,15,12,pass,60,2449,40,Genuine
Emmalyn Balasini,remote,20,11,7,6,7,12,fail,60,3574,59,Genuine
Emmalyn Beevis,remote,50,14,4,1,10,30,fail,150,2811,46,Genuine
Emmeline Searjeant,center_based,20,11,0,0,10,12,fail,60,2255,37,Genuine
Emmi Dyka,remote,40,22,3,2,12,24,fail,120,2318,38,Genuine
Emogene Devanny,remote,30,21,14,11,18,18,pass,90,3713,61,Genuine
Emogene Jachimczak,remote,40,26,23,23,25,24,pass,120,1148,19,Genuine
Emylee Ciccarelli,remote,40,40,29,7,40,24,pass,120,2664,44,Genuine
Enrica Chupin,remote,20,20,4,1,8,12,fail,60,2276,37,Genuine
Enrique Votier,center_based,30,18,4,4,17,18,fail,90,4162,69,Genuine
Ephrem Devonside,remote,40,13,11,3,6,24,fail,120,2447,40,Genuine
Eran O'Rafferty,center_based,20,16,13,3,3,12,fail,60,3074,51,Genuine
Erin Wrigglesworth,remote,20,20,12,9,11,12,fail,60,2791,46,Genuine
Erl Gerrels,center_based,50,45,8,5,31,30,pass,150,3598,59,Genuine
Ermentrude Boteman,center_based,50,28,26,21,25,30,fail,150,2643,44,Genuine
Ernesta McGuff,remote,50,24,19,4,5,30,fail,150,4717,78,Genuine
Ernestine Dorgan,center_based,20,16,10,10,12,12,pass,60,1576,26,Genuine
Erskine Hammill,center_based,50,33,27,2,28,30,fail,150,5402,90,Genuine
Erskine Yukhnin,remote,20,19,9,8,8,12,fail,60,2128,35,Genuine
Esdras Polkinhorn,remote,40,38,26,19,29,24,pass,120,4889,81,Genuine
Esmaria Southernwood,center_based,40,37,8,4,35,24,pass,120,4301,71,Genuine
Esta Dent,remote,50,47,34,26,28,30,fail,150,1612,26,Genuine
Estell Gauvin,remote,20,13,0,0,12,12,pass,60,1258,20,Genuine
Estrella Busson,remote,20,18,0,0,8,12,fail,60,1213,20,Genuine
Ethel Robiot,center_based,40,30,4,4,6,24,fail,120,4803,80,Genuine
Evangelia Searl,remote,20,15,5,5,10,12,fail,60,1498,24,Genuine
Evelin Dorie,remote,30,16,9,3,10,18,fail,90,455,7,Genuine
Everett Burnsell,center_based,40,19,19,16,17,24,fail,120,6646,110,Genuine
Everett Sprionghall,remote,20,15,15,4,11,12,fail,60,3030,50,Genuine
Ewell Weightman,remote,20,16,10,6,6,12,fail,60,1439,23,Genuine
Ewen Leist,remote,40,24,21,16,17,24,fail,120,6709,111,Genuine
Fabe Diplock,remote,20,19,18,1,13,12,pass,60,1540,25,Genuine
Fabe Nacey,center_based,40,22,13,10,17,24,fail,120,1526,25,Genuine
Fabio Eyam,remote,20,18,9,3,16,12,pass,60,1505,25,Genuine
Fairfax Moland,remote,40,33,33,10,30,24,pass,120,7105,118,Genuine
Fancy Ishak,remote,50,46,17,12,43,30,pass,150,8547,142,Genuine
Fanechka Saffrin,remote,30,24,5,0,23,18,pass,90,3568,59,Genuine
Fanny Gouch,remote,30,26,19,18,26,18,pass,90,5378,89,Cheating
Far Chettle,remote,40,20,13,1,1,24,fail,120,4537,75,Genuine
Far Maling,remote,40,24,5,4,13,24,fail,120,240,4,Genuine
Farlay Hannabus,center_based,30,16,16,3,4,18,fail,90,1488,24,Genuine
Farra Menure,center_based,50,33,25,11,23,30,fail,150,3005,50,Genuine
Faustina Risdall,center_based,50,22,15,13,13,30,fail,150,8662,144,Genuine
Faustine Simao,center_based,50,16,14,10,16,30,fail,150,3555,59,Genuine
Fawnia Medlar,remote,30,15,2,2,7,18,fail,90,3672,61,Genuine
Fay Wafer,center_based,50,12,2,0,11,30,fail,150,8057,134,Genuine
Faydra Tomala,center_based,50,48,12,12,44,30,pass,150,4266,71,Genuine
Fayina Borth,center_based,50,44,33,23,32,30,pass,150,4070,67,Genuine
Fayre Jendrich,remote,50,37,8,3,24,30,fail,150,5860,97,Genuine
Felicle Bumphries,center_based,20,14,2,0,14,12,pass,60,1999,33,Genuine
Felipa Fradson,center_based,40,33,25,0,16,24,fail,120,2810,46,Genuine
Felisha Legendre,remote,30,27,8,6,25,18,pass,90,5174,86,Genuine
Ferdie Boller,remote,20,15,3,2,10,12,fail,60,3115,51,Genuine
Ferdinande Hankin,remote,20,12,12,9,10,12,fail,60,1198,19,Genuine
Fern Jouanet,remote,20,20,16,3,7,12,fail,60,3056,50,Genuine
Fernandina Brockhouse,remote,20,18,0,0,5,12,fail,60,3086,51,Genuine
Ferris Iacomo,remote,20,14,4,3,4,12,fail,60,436,7,Genuine
Fidel Choules,remote,50,43,31,26,31,30,pass,150,1078,17,Genuine
Filbert Chappelle,center_based,30,20,2,1,7,18,fail,90,4557,75,Genuine
Filberto Scoffham,remote,40,15,10,9,11,24,fail,120,1042,17,Genuine
Filide Roxbrough,remote,40,35,29,9,20,24,fail,120,2451,40,Genuine
Filippo Jedrzejczyk,remote,20,12,2,2,2,12,fail,60,948,15,Genuine
Finlay Rimer,remote,30,29,23,13,28,18,pass,90,2762,46,Genuine
Fionnula Spary,remote,50,13,13,0,3,30,fail,150,2262,37,Genuine
Fitz Severns,remote,20,15,6,4,6,12,fail,60,3447,57,Genuine
Fitzgerald oldey,remote,40,33,6,6,7,24,fail,120,6133,102,Genuine
Fleming Larway,remote,20,13,1,1,9,12,fail,60,2977,49,Genuine
Flo Joburn,remote,50,35,25,15,28,30,fail,150,4029,67,Genuine
Florida Roderigo,center_based,20,20,2,1,2,12,fail,60,3492,58,Genuine
Florida Tzar,center_based,40,20,16,6,18,24,fail,120,5248,87,Genuine
Floris Dell,remote,50,27,2,1,19,30,fail,150,4436,73,Genuine
Fons Tallon,center_based,40,18,1,1,4,24,fail,120,1104,18,Genuine
Fonzie Lowres,remote,20,11,4,3,4,12,fail,60,2840,47,Genuine
Forrester Shilburne,remote,50,49,12,8,42,30,pass,150,6544,109,Genuine
Fran Poetz,remote,40,26,14,5,11,24,fail,120,4531,75,Genuine
Francis Melonby,remote,50,47,7,4,21,30,fail,150,3496,58,Genuine
Francyne Repper,remote,30,10,10,3,5,18,fail,90,252,4,Genuine
Franklin Ackland,center_based,50,17,1,0,5,30,fail,150,8242,137,Genuine
Franklin Coughlan,center_based,50,19,2,0,12,30,fail,150,7979,132,Genuine
Franky Genders,remote,30,25,2,1,19,18,pass,90,1790,29,Genuine
Franny Andrichak,remote,20,13,3,2,13,12,pass,60,3397,56,Genuine
Frasier Boffin,center_based,20,15,6,4,8,12,fail,60,320,5,Genuine
Frazier Aldham,remote,50,18,10,2,13,30,fail,150,6660,111,Genuine
Fredia Fetherby,remote,40,25,8,6,15,24,fail,120,3740,62,Genuine
Fredrika Pridie,remote,40,15,7,3,13,24,fail,120,3516,58,Genuine
Freedman Izat,remote,50,35,35,12,33,30,pass,150,3286,54,Genuine
Friederike Domonkos,remote,30,26,26,2,18,18,pass,90,266,4,Genuine
Friedrich Winsiowiecki,remote,20,18,1,1,14,12,pass,60,496,8,Genuine
Fulvia Wisher,center_based,40,40,19,19,33,24,pass,120,271,4,Cheating
Fulvia Wisher,center_based,40,40,19,19,33,24,pass,120,271,4,Cheating
Gabi Pymer,remote,40,31,19,18,22,24,fail,120,4671,77,Genuine
Gabriela Mellmoth,center_based,20,10,7,2,6,12,fail,60,790,13,Genuine
Gabriele Appleyard,remote,30,21,6,2,11,18,fail,90,2355,39,Genuine
Gabrielle Cuzen,remote,50,15,15,2,5,30,fail,150,7766,129,Genuine
Gaby Plumer,remote,30,28,7,6,24,18,pass,90,4414,73,Genuine
Gail Bradnocke,remote,50,47,37,7,21,30,fail,150,739,12,Genuine
Gale Dorkin,remote,20,20,15,1,6,12,fail,60,62,1,Genuine
Gallagher Symes,remote,20,18,16,4,18,12,pass,60,1417,23,Genuine
Gan Josskovitz,remote,40,22,7,5,12,24,fail,120,2915,48,Genuine
Garey Gowrich,center_based,40,30,13,1,24,24,pass,120,4692,78,Genuine
Garey Romaine,remote,50,42,39,11,25,30,fail,150,6452,107,Genuine
Garnet Sherrell,center_based,20,10,6,1,5,12,fail,60,701,11,Genuine
Garrek Manifould,center_based,20,14,11,7,7,12,fail,60,2771,46,Genuine
Gaspar Iannazzi,remote,40,16,14,4,11,24,fail,120,2162,36,Genuine
Gasparo Tenby,remote,40,30,17,13,29,24,pass,120,6054,100,Genuine
Gauthier Oiseau,remote,50,29,20,13,20,30,fail,150,455,7,Genuine
Gayla Churchward,center_based,50,42,25,1,38,30,pass,150,3408,56,Genuine
Gayla Gallant,center_based,40,11,11,4,5,24,fail,120,7147,119,Genuine
Gaylene Atcheson,center_based,40,18,18,7,11,24,fail,120,3154,52,Genuine
Gayler Sinnock,remote,50,48,15,10,37,30,pass,150,3086,51,Genuine
Gaylor Pavlata,remote,40,34,2,0,34,24,pass,120,1563,26,Genuine
Gena Jeskins,remote,30,16,9,4,15,18,fail,90,2074,34,Genuine
Geneva Vigne,remote,40,14,0,0,6,24,fail,120,1673,27,Genuine
Georgeanna Grebert,remote,40,30,5,3,18,24,fail,120,5609,93,Genuine
Georgeanne Mummery,remote,20,16,2,2,16,12,pass,60,3503,58,Genuine
Georgena Rainsdon,remote,40,22,15,0,20,24,fail,120,4821,80,Genuine
Georgi Erratt,remote,50,15,0,0,1,30,fail,150,7128,118,Genuine
Georgianne Littefair,remote,20,15,14,5,10,12,fail,60,1589,26,Genuine
Gerald Sokill,center_based,50,12,4,1,9,30,fail,150,8993,149,Genuine
Gerhard Somerlie,center_based,40,38,10,9,22,24,fail,120,3866,64,Genuine
Gerianna Salzburger,remote,30,15,4,1,12,18,fail,90,2664,44,Genuine
Gerta Calder,remote,20,16,0,0,10,12,fail,60,1841,30,Genuine
Gerti Mungin,remote,30,10,6,0,2,18,fail,90,3986,66,Genuine
Giffard Burris,center_based,40,30,28,24,25,24,pass,120,3750,62,Cheating
Gilligan Meeus,center_based,50,39,17,14,19,30,fail,150,2349,39,Genuine
Gino Rothwell,center_based,30,23,2,1,17,18,fail,90,4973,82,Genuine
Gisela Lisimore,remote,40,20,7,0,17,24,fail,120,6223,103,Genuine
Gisele Loughnan,remote,30,18,10,1,16,18,fail,90,2752,45,Genuine
Gisella Carine,remote,50,16,7,2,13,30,fail,150,8813,146,Genuine
Gisella Carine,remote,50,16,7,2,13,30,fail,150,8813,146,Genuine
Giulietta Shakelade,remote,50,49,37,20,29,30,fail,150,6891,114,Genuine
Glad Loftus,center_based,50,13,10,6,12,30,fail,150,3547,59,Genuine
Gladi Kinnard,remote,50,44,1,1,14,30,fail,150,2218,36,Genuine
Glen Anglim,center_based,50,25,21,3,19,30,fail,150,3113,51,Genuine
Glenden Sand,remote,30,16,12,9,14,18,fail,90,4544,75,Genuine
Glendon Feron,center_based,50,39,1,1,22,30,fail,150,6036,100,Genuine
Glori Mucklow,center_based,50,43,36,25,39,30,pass,150,5013,83,Genuine
Glynis Flecknell,remote,50,42,34,6,34,30,pass,150,7581,126,Genuine
Gnni Tippler,remote,30,24,9,8,23,18,pass,90,4511,75,Genuine
Goddart Darbishire,center_based,50,16,11,0,9,30,fail,150,4481,74,Genuine
Goddart Darbishire,center_based,50,16,11,0,9,30,fail,150,4481,74,Genuine
Goldie Beekmann,center_based,30,11,7,6,9,18,fail,90,1068,17,Genuine
Goldina Bunney,center_based,40,21,18,8,14,24,fail,120,6614,110,Genuine
Gonzales Kinson,remote,30,28,21,5,24,18,pass,90,2313,38,Genuine
Goran Boyen,center_based,20,11,9,0,2,12,fail,60,3043,50,Genuine
Gradey Hexum,center_based,30,24,3,2,17,18,fail,90,2289,38,Genuine
Grady Bockings,remote,50,22,21,4,17,30,fail,150,1264,21,Genuine
Grantham Ditchfield,remote,20,17,16,3,14,12,pass,60,1333,22,Genuine
Grantley Mullally,remote,20,20,3,3,17,12,pass,60,1854,30,Genuine
Grazia Olanda,remote,30,20,3,1,8,18,fail,90,279,4,Genuine
Greer Christensen,center_based,40,26,22,21,25,24,pass,120,6748,112,Genuine
Gregorius Crosser,remote,40,35,33,1,29,24,pass,120,2778,46,Genuine
Gregory Craggs,center_based,30,29,22,16,19,18,pass,90,2781,46,Genuine
Gretal Wingham,remote,30,26,19,1,22,18,pass,90,891,14,Genuine
Grier Kilfedder,remote,20,14,1,1,7,12,fail,60,3469,57,Genuine
Griff Piche,center_based,20,10,4,2,4,12,fail,60,2587,43,Genuine
Gualterio Troyes,remote,50,24,8,5,9,30,fail,150,6565,109,Genuine
Guglielmo Trethowan,remote,30,11,3,2,2,18,fail,90,5112,85,Genuine
Gui Darkin,remote,40,19,12,1,4,24,fail,120,5887,98,Genuine
Guido Beasleigh,remote,20,14,11,8,11,12,fail,60,2398,39,Genuine
Guillemette Stockle,remote,30,11,10,7,11,18,fail,90,2761,46,Genuine
Guinevere Allner,remote,40,33,8,4,17,24,fail,120,2147,35,Genuine
Guinevere Deam,remote,20,19,11,3,5,12,fail,60,2551,42,Genuine
Guinevere Stickney,remote,20,11,10,5,6,12,fail,60,2333,38,Genuine
Gunar Simco,remote,50,24,18,1,10,30,fail,150,2729,45,Genuine
Gus Brocklebank,center_based,30,24,13,0,7,18,fail,90,3223,53,Genuine
Guss Jenking,remote,30,21,13,8,16,18,fail,90,2071,34,Genuine
Gustav Woolmington,remote,40,12,12,10,11,24,fail,120,4821,80,Genuine
Gustavus Thorburn,center_based,20,18,0,0,15,12,pass,60,1232,20,Genuine
Guthrie Bullimore,remote,20,18,9,5,11,12,fail,60,1360,22,Genuine
Guy Kinneally,remote,50,34,28,10,26,30,fail,150,2130,35,Genuine
Gweneth Getty,center_based,20,18,3,0,12,12,pass,60,1565,26,Genuine
Gwenni Sumbler,remote,20,14,2,2,7,12,fail,60,1466,24,Genuine
Gwyneth Rutter,remote,50,48,24,18,29,30,fail,150,3314,55,Genuine
Had MacPharlain,remote,30,18,17,7,9,18,fail,90,2424,40,Genuine
Hadlee Porrett,remote,50,19,15,0,11,30,fail,150,1890,31,Genuine
Hailee Airy,center_based,50,15,3,3,11,30,fail,150,8803,146,Genuine
Hailey Bianco,remote,50,14,2,1,8,30,fail,150,7251,120,Genuine
Haily Townsley,remote,40,39,34,9,9,24,fail,120,2045,34,Genuine
Haleigh Caldaro,center_based,50,41,38,18,18,30,fail,150,7421,123,Genuine
Hali Sturror,remote,20,17,0,0,4,12,fail,60,1559,25,Genuine
Hall Craufurd,center_based,40,18,11,9,18,24,fail,120,1184,19,Genuine
Hall Craufurd,center_based,40,18,11,9,18,24,fail,120,1184,19,Genuine
Hall Matias,center_based,30,18,12,9,14,18,fail,90,5287,88,Genuine
Halli Snelman,remote,30,20,9,0,9,18,fail,90,1768,29,Genuine
Hamil Kondratenko,remote,50,26,0,0,8,30,fail,150,1285,21,Genuine
Hamlin Willshire,remote,20,20,10,10,16,12,pass,60,1627,27,Genuine
Hamlin Willshire,remote,20,20,10,10,16,12,pass,60,1627,27,Genuine
Harland McPhail,remote,20,12,11,6,9,12,fail,60,2800,46,Genuine
Harley Ruger,center_based,40,35,28,10,16,24,fail,120,6181,103,Genuine
Harli de Verson,remote,40,31,4,3,12,24,fail,120,4966,82,Genuine
Harp Cursey,remote,20,18,7,4,15,12,pass,60,872,14,Genuine
Harriette Beven,center_based,40,20,12,12,19,24,fail,120,2749,45,Genuine
Hartley Cruikshank,remote,50,23,3,2,16,30,fail,150,8627,143,Genuine
Hasty Giamo,remote,40,30,16,0,5,24,fail,120,5154,85,Genuine
Hatti Klaas,remote,30,11,10,9,9,18,fail,90,2946,49,Genuine
Haven Atkins,center_based,30,14,11,4,4,18,fail,90,1481,24,Genuine
Hayden Koppke,remote,50,39,5,1,20,30,fail,150,2614,43,Genuine
Heath Lintott,remote,50,50,40,36,42,30,pass,150,1745,29,Cheating
Heidi McGebenay,center_based,40,28,6,4,23,24,fail,120,665,11,Genuine
